date,currency_name,value,unit,note
10-03-2025,Pound Sterling,112.67,value in indian rupees per unit of foreign currency,
10-03-2025,Japanese Yen,59.06,value in indian rupees per unit of foreign currency,
10-03-2025,Euro,94.55,value in indian rupees per unit of foreign currency,
07-03-2025,US Dollar,87.06,value in indian rupees per unit of foreign currency,
07-03-2025,Pound Sterling,112.22,value in indian rupees per unit of foreign currency,
07-03-2025,Japanese Yen,59.02,value in indian rupees per unit of foreign currency,
07-03-2025,Euro,94.2,value in indian rupees per unit of foreign currency,
06-03-2025,US Dollar,87.09,value in indian rupees per unit of foreign currency,
06-03-2025,Pound Sterling,112.33,value in indian rupees per unit of foreign currency,
06-03-2025,Japanese Yen,58.5,value in indian rupees per unit of foreign currency,
06-03-2025,Euro,94.09,value in indian rupees per unit of foreign currency,
05-03-2025,US Dollar,87.09,value in indian rupees per unit of foreign currency,
05-03-2025,Pound Sterling,111.45,value in indian rupees per unit of foreign currency,
05-03-2025,Japanese Yen,58.19,value in indian rupees per unit of foreign currency,
05-03-2025,Euro,92.63,value in indian rupees per unit of foreign currency,
04-03-2025,US Dollar,87.38,value in indian rupees per unit of foreign currency,
04-03-2025,Pound Sterling,110.91,value in indian rupees per unit of foreign currency,
04-03-2025,Japanese Yen,58.52,value in indian rupees per unit of foreign currency,
04-03-2025,Euro,91.59,value in indian rupees per unit of foreign currency,
03-03-2025,US Dollar,87.33,value in indian rupees per unit of foreign currency,
03-03-2025,Pound Sterling,110.07,value in indian rupees per unit of foreign currency,
03-03-2025,Japanese Yen,58.1,value in indian rupees per unit of foreign currency,
03-03-2025,Euro,90.95,value in indian rupees per unit of foreign currency,
28-02-2025,US Dollar,87.4,value in indian rupees per unit of foreign currency,
28-02-2025,Pound Sterling,109.98,value in indian rupees per unit of foreign currency,
28-02-2025,Japanese Yen,58.3,value in indian rupees per unit of foreign currency,
28-02-2025,Euro,90.78,value in indian rupees per unit of foreign currency,
27-02-2025,US Dollar,87.21,value in indian rupees per unit of foreign currency,
27-02-2025,Pound Sterling,110.41,value in indian rupees per unit of foreign currency,
27-02-2025,Japanese Yen,58.39,value in indian rupees per unit of foreign currency,
27-02-2025,Euro,91.31,value in indian rupees per unit of foreign currency,
25-02-2025,US Dollar,87.0,value in indian rupees per unit of foreign currency,
25-02-2025,Pound Sterling,109.92,value in indian rupees per unit of foreign currency,
25-02-2025,Japanese Yen,58.09,value in indian rupees per unit of foreign currency,
25-02-2025,Euro,91.16,value in indian rupees per unit of foreign currency,
24-02-2025,US Dollar,86.69,value in indian rupees per unit of foreign currency,
24-02-2025,Pound Sterling,109.82,value in indian rupees per unit of foreign currency,
24-02-2025,Japanese Yen,58.01,value in indian rupees per unit of foreign currency,
24-02-2025,Euro,91.11,value in indian rupees per unit of foreign currency,
21-02-2025,US Dollar,86.65,value in indian rupees per unit of foreign currency,
21-02-2025,Pound Sterling,109.7,value in indian rupees per unit of foreign currency,
21-02-2025,Japanese Yen,57.58,value in indian rupees per unit of foreign currency,
21-02-2025,Euro,90.91,value in indian rupees per unit of foreign currency,
20-02-2025,US Dollar,86.7,value in indian rupees per unit of foreign currency,
20-02-2025,Pound Sterling,109.23,value in indian rupees per unit of foreign currency,
20-02-2025,Japanese Yen,57.74,value in indian rupees per unit of foreign currency,
20-02-2025,Euro,90.45,value in indian rupees per unit of foreign currency,
18-02-2025,US Dollar,86.97,value in indian rupees per unit of foreign currency,
18-02-2025,Pound Sterling,109.58,value in indian rupees per unit of foreign currency,
18-02-2025,Japanese Yen,57.22,value in indian rupees per unit of foreign currency,
18-02-2025,Euro,90.96,value in indian rupees per unit of foreign currency,
17-02-2025,US Dollar,86.77,value in indian rupees per unit of foreign currency,
17-02-2025,Pound Sterling,109.26,value in indian rupees per unit of foreign currency,
17-02-2025,Japanese Yen,57.21,value in indian rupees per unit of foreign currency,
17-02-2025,Euro,91.03,value in indian rupees per unit of foreign currency,
14-02-2025,US Dollar,86.89,value in indian rupees per unit of foreign currency,
14-02-2025,Pound Sterling,109.12,value in indian rupees per unit of foreign currency,
14-02-2025,Japanese Yen,56.93,value in indian rupees per unit of foreign currency,
14-02-2025,Euro,90.86,value in indian rupees per unit of foreign currency,
13-02-2025,US Dollar,86.88,value in indian rupees per unit of foreign currency,
13-02-2025,Pound Sterling,108.56,value in indian rupees per unit of foreign currency,
13-02-2025,Japanese Yen,56.4,value in indian rupees per unit of foreign currency,
13-02-2025,Euro,90.67,value in indian rupees per unit of foreign currency,
12-02-2025,US Dollar,86.85,value in indian rupees per unit of foreign currency,
12-02-2025,Pound Sterling,108.07,value in indian rupees per unit of foreign currency,
12-02-2025,Japanese Yen,56.52,value in indian rupees per unit of foreign currency,
12-02-2025,Euro,89.96,value in indian rupees per unit of foreign currency,
11-02-2025,US Dollar,86.89,value in indian rupees per unit of foreign currency,
11-02-2025,Pound Sterling,107.41,value in indian rupees per unit of foreign currency,
11-02-2025,Japanese Yen,57.2,value in indian rupees per unit of foreign currency,
11-02-2025,Euro,89.54,value in indian rupees per unit of foreign currency,
10-02-2025,US Dollar,87.59,value in indian rupees per unit of foreign currency,
10-02-2025,Pound Sterling,108.67,value in indian rupees per unit of foreign currency,
10-02-2025,Japanese Yen,57.69,value in indian rupees per unit of foreign currency,
10-02-2025,Euro,90.36,value in indian rupees per unit of foreign currency,
07-02-2025,US Dollar,87.48,value in indian rupees per unit of foreign currency,
07-02-2025,Pound Sterling,108.69,value in indian rupees per unit of foreign currency,
07-02-2025,Japanese Yen,57.68,value in indian rupees per unit of foreign currency,
07-02-2025,Euro,90.76,value in indian rupees per unit of foreign currency,
06-02-2025,US Dollar,87.56,value in indian rupees per unit of foreign currency,
06-02-2025,Pound Sterling,109.36,value in indian rupees per unit of foreign currency,
06-02-2025,Japanese Yen,57.43,value in indian rupees per unit of foreign currency,
06-02-2025,Euro,90.98,value in indian rupees per unit of foreign currency,
05-02-2025,US Dollar,87.22,value in indian rupees per unit of foreign currency,
05-02-2025,Pound Sterling,108.87,value in indian rupees per unit of foreign currency,
05-02-2025,Japanese Yen,56.94,value in indian rupees per unit of foreign currency,
05-02-2025,Euro,90.6,value in indian rupees per unit of foreign currency,
04-02-2025,US Dollar,87.12,value in indian rupees per unit of foreign currency,
04-02-2025,Pound Sterling,108.01,value in indian rupees per unit of foreign currency,
04-02-2025,Japanese Yen,56.11,value in indian rupees per unit of foreign currency,
04-02-2025,Euro,89.7,value in indian rupees per unit of foreign currency,
03-02-2025,US Dollar,87.12,value in indian rupees per unit of foreign currency,
03-02-2025,Pound Sterling,107.05,value in indian rupees per unit of foreign currency,
03-02-2025,Japanese Yen,56.05,value in indian rupees per unit of foreign currency,
03-02-2025,Euro,89.27,value in indian rupees per unit of foreign currency,
31-01-2025,US Dollar,86.64,value in indian rupees per unit of foreign currency,
31-01-2025,Pound Sterling,107.62,value in indian rupees per unit of foreign currency,
31-01-2025,Japanese Yen,55.96,value in indian rupees per unit of foreign currency,
31-01-2025,Euro,90.01,value in indian rupees per unit of foreign currency,
30-01-2025,US Dollar,86.58,value in indian rupees per unit of foreign currency,
30-01-2025,Pound Sterling,107.68,value in indian rupees per unit of foreign currency,
30-01-2025,Japanese Yen,55.99,value in indian rupees per unit of foreign currency,
30-01-2025,Euro,90.18,value in indian rupees per unit of foreign currency,
29-01-2025,US Dollar,86.58,value in indian rupees per unit of foreign currency,
29-01-2025,Pound Sterling,107.85,value in indian rupees per unit of foreign currency,
29-01-2025,Japanese Yen,55.76,value in indian rupees per unit of foreign currency,
29-01-2025,Euro,90.39,value in indian rupees per unit of foreign currency,
28-01-2025,US Dollar,86.54,value in indian rupees per unit of foreign currency,
28-01-2025,Pound Sterling,107.68,value in indian rupees per unit of foreign currency,
28-01-2025,Japanese Yen,55.57,value in indian rupees per unit of foreign currency,
28-01-2025,Euro,90.33,value in indian rupees per unit of foreign currency,
27-01-2025,US Dollar,86.42,value in indian rupees per unit of foreign currency,
27-01-2025,Pound Sterling,107.64,value in indian rupees per unit of foreign currency,
27-01-2025,Japanese Yen,55.33,value in indian rupees per unit of foreign currency,
27-01-2025,Euro,90.4,value in indian rupees per unit of foreign currency,
24-01-2025,US Dollar,86.29,value in indian rupees per unit of foreign currency,
24-01-2025,Pound Sterling,107.09,value in indian rupees per unit of foreign currency,
24-01-2025,Japanese Yen,55.59,value in indian rupees per unit of foreign currency,
24-01-2025,Euro,90.21,value in indian rupees per unit of foreign currency,
23-01-2025,US Dollar,86.46,value in indian rupees per unit of foreign currency,
23-01-2025,Pound Sterling,106.48,value in indian rupees per unit of foreign currency,
23-01-2025,Japanese Yen,55.23,value in indian rupees per unit of foreign currency,
23-01-2025,Euro,89.99,value in indian rupees per unit of foreign currency,
22-01-2025,US Dollar,86.57,value in indian rupees per unit of foreign currency,
22-01-2025,Pound Sterling,106.7,value in indian rupees per unit of foreign currency,
22-01-2025,Japanese Yen,55.52,value in indian rupees per unit of foreign currency,
22-01-2025,Euro,90.08,value in indian rupees per unit of foreign currency,
21-01-2025,US Dollar,86.51,value in indian rupees per unit of foreign currency,
21-01-2025,Pound Sterling,106.19,value in indian rupees per unit of foreign currency,
21-01-2025,Japanese Yen,55.65,value in indian rupees per unit of foreign currency,
21-01-2025,Euro,89.78,value in indian rupees per unit of foreign currency,
20-01-2025,US Dollar,86.55,value in indian rupees per unit of foreign currency,
20-01-2025,Pound Sterling,105.69,value in indian rupees per unit of foreign currency,
20-01-2025,Japanese Yen,55.42,value in indian rupees per unit of foreign currency,
20-01-2025,Euro,89.21,value in indian rupees per unit of foreign currency,
17-01-2025,US Dollar,86.58,value in indian rupees per unit of foreign currency,
17-01-2025,Pound Sterling,105.71,value in indian rupees per unit of foreign currency,
17-01-2025,Japanese Yen,55.63,value in indian rupees per unit of foreign currency,
17-01-2025,Euro,89.08,value in indian rupees per unit of foreign currency,
16-01-2025,US Dollar,86.49,value in indian rupees per unit of foreign currency,
16-01-2025,Pound Sterling,105.66,value in indian rupees per unit of foreign currency,
16-01-2025,Japanese Yen,55.37,value in indian rupees per unit of foreign currency,
16-01-2025,Euro,88.97,value in indian rupees per unit of foreign currency,
15-01-2025,US Dollar,86.5,value in indian rupees per unit of foreign currency,
15-01-2025,Pound Sterling,105.56,value in indian rupees per unit of foreign currency,
15-01-2025,Japanese Yen,54.95,value in indian rupees per unit of foreign currency,
15-01-2025,Euro,89.07,value in indian rupees per unit of foreign currency,
14-01-2025,US Dollar,86.55,value in indian rupees per unit of foreign currency,
14-01-2025,Pound Sterling,105.65,value in indian rupees per unit of foreign currency,
14-01-2025,Japanese Yen,54.9,value in indian rupees per unit of foreign currency,
14-01-2025,Euro,88.7,value in indian rupees per unit of foreign currency,
13-01-2025,US Dollar,86.44,value in indian rupees per unit of foreign currency,
13-01-2025,Pound Sterling,105.05,value in indian rupees per unit of foreign currency,
13-01-2025,Japanese Yen,54.88,value in indian rupees per unit of foreign currency,
13-01-2025,Euro,88.36,value in indian rupees per unit of foreign currency,
10-01-2025,US Dollar,85.9,value in indian rupees per unit of foreign currency,
10-01-2025,Pound Sterling,105.47,value in indian rupees per unit of foreign currency,
10-01-2025,Japanese Yen,54.23,value in indian rupees per unit of foreign currency,
10-01-2025,Euro,88.35,value in indian rupees per unit of foreign currency,
09-01-2025,US Dollar,85.88,value in indian rupees per unit of foreign currency,
09-01-2025,Pound Sterling,105.76,value in indian rupees per unit of foreign currency,
09-01-2025,Japanese Yen,54.3,value in indian rupees per unit of foreign currency,
09-01-2025,Euro,88.47,value in indian rupees per unit of foreign currency,
08-01-2025,US Dollar,85.84,value in indian rupees per unit of foreign currency,
08-01-2025,Pound Sterling,107.21,value in indian rupees per unit of foreign currency,
08-01-2025,Japanese Yen,54.31,value in indian rupees per unit of foreign currency,
08-01-2025,Euro,88.89,value in indian rupees per unit of foreign currency,
07-01-2025,US Dollar,85.72,value in indian rupees per unit of foreign currency,
07-01-2025,Pound Sterling,107.49,value in indian rupees per unit of foreign currency,
07-01-2025,Japanese Yen,54.32,value in indian rupees per unit of foreign currency,
07-01-2025,Euro,89.14,value in indian rupees per unit of foreign currency,
06-01-2025,US Dollar,85.83,value in indian rupees per unit of foreign currency,
06-01-2025,Pound Sterling,106.81,value in indian rupees per unit of foreign currency,
06-01-2025,Japanese Yen,54.43,value in indian rupees per unit of foreign currency,
06-01-2025,Euro,88.52,value in indian rupees per unit of foreign currency,
03-01-2025,US Dollar,85.76,value in indian rupees per unit of foreign currency,
03-01-2025,Pound Sterling,106.34,value in indian rupees per unit of foreign currency,
03-01-2025,Japanese Yen,54.53,value in indian rupees per unit of foreign currency,
03-01-2025,Euro,88.11,value in indian rupees per unit of foreign currency,
02-01-2025,US Dollar,85.79,value in indian rupees per unit of foreign currency,
02-01-2025,Pound Sterling,107.5,value in indian rupees per unit of foreign currency,
02-01-2025,Japanese Yen,54.71,value in indian rupees per unit of foreign currency,
02-01-2025,Euro,88.89,value in indian rupees per unit of foreign currency,
01-01-2025,US Dollar,85.71,value in indian rupees per unit of foreign currency,
01-01-2025,Pound Sterling,107.26,value in indian rupees per unit of foreign currency,
01-01-2025,Japanese Yen,54.51,value in indian rupees per unit of foreign currency,
01-01-2025,Euro,88.76,value in indian rupees per unit of foreign currency,
31-12-2024,US Dollar,85.62,value in indian rupees per unit of foreign currency,
31-12-2024,Pound Sterling,107.46,value in indian rupees per unit of foreign currency,
31-12-2024,Japanese Yen,54.82,value in indian rupees per unit of foreign currency,
31-12-2024,Euro,89.09,value in indian rupees per unit of foreign currency,
30-12-2024,US Dollar,85.47,value in indian rupees per unit of foreign currency,
30-12-2024,Pound Sterling,107.57,value in indian rupees per unit of foreign currency,
30-12-2024,Japanese Yen,54.1,value in indian rupees per unit of foreign currency,
30-12-2024,Euro,89.14,value in indian rupees per unit of foreign currency,
27-12-2024,US Dollar,85.59,value in indian rupees per unit of foreign currency,
27-12-2024,Pound Sterling,107.21,value in indian rupees per unit of foreign currency,
27-12-2024,Japanese Yen,54.26,value in indian rupees per unit of foreign currency,
27-12-2024,Euro,89.11,value in indian rupees per unit of foreign currency,
26-12-2024,US Dollar,85.27,value in indian rupees per unit of foreign currency,
26-12-2024,Pound Sterling,106.96,value in indian rupees per unit of foreign currency,
26-12-2024,Japanese Yen,54.18,value in indian rupees per unit of foreign currency,
26-12-2024,Euro,88.67,value in indian rupees per unit of foreign currency,
24-12-2024,US Dollar,85.19,value in indian rupees per unit of foreign currency,
24-12-2024,Pound Sterling,106.79,value in indian rupees per unit of foreign currency,
24-12-2024,Japanese Yen,54.25,value in indian rupees per unit of foreign currency,
24-12-2024,Euro,88.56,value in indian rupees per unit of foreign currency,
23-12-2024,US Dollar,85.07,value in indian rupees per unit of foreign currency,
23-12-2024,Pound Sterling,106.93,value in indian rupees per unit of foreign currency,
23-12-2024,Japanese Yen,54.32,value in indian rupees per unit of foreign currency,
23-12-2024,Euro,88.78,value in indian rupees per unit of foreign currency,
20-12-2024,US Dollar,85.09,value in indian rupees per unit of foreign currency,
20-12-2024,Pound Sterling,106.29,value in indian rupees per unit of foreign currency,
20-12-2024,Japanese Yen,54.23,value in indian rupees per unit of foreign currency,
20-12-2024,Euro,88.17,value in indian rupees per unit of foreign currency,
19-12-2024,US Dollar,85.07,value in indian rupees per unit of foreign currency,
19-12-2024,Pound Sterling,107.15,value in indian rupees per unit of foreign currency,
19-12-2024,Japanese Yen,54.83,value in indian rupees per unit of foreign currency,
19-12-2024,Euro,88.36,value in indian rupees per unit of foreign currency,
18-12-2024,US Dollar,84.94,value in indian rupees per unit of foreign currency,
18-12-2024,Pound Sterling,107.94,value in indian rupees per unit of foreign currency,
18-12-2024,Japanese Yen,55.38,value in indian rupees per unit of foreign currency,
18-12-2024,Euro,89.26,value in indian rupees per unit of foreign currency,
17-12-2024,US Dollar,84.93,value in indian rupees per unit of foreign currency,
17-12-2024,Pound Sterling,107.6,value in indian rupees per unit of foreign currency,
17-12-2024,Japanese Yen,55.11,value in indian rupees per unit of foreign currency,
17-12-2024,Euro,89.17,value in indian rupees per unit of foreign currency,
16-12-2024,US Dollar,84.83,value in indian rupees per unit of foreign currency,
16-12-2024,Pound Sterling,107.16,value in indian rupees per unit of foreign currency,
16-12-2024,Japanese Yen,55.18,value in indian rupees per unit of foreign currency,
16-12-2024,Euro,89.18,value in indian rupees per unit of foreign currency,
13-12-2024,US Dollar,84.84,value in indian rupees per unit of foreign currency,
13-12-2024,Pound Sterling,107.39,value in indian rupees per unit of foreign currency,
13-12-2024,Japanese Yen,55.49,value in indian rupees per unit of foreign currency,
13-12-2024,Euro,88.74,value in indian rupees per unit of foreign currency,
12-12-2024,US Dollar,84.87,value in indian rupees per unit of foreign currency,
12-12-2024,Pound Sterling,108.37,value in indian rupees per unit of foreign currency,
12-12-2024,Japanese Yen,55.64,value in indian rupees per unit of foreign currency,
12-12-2024,Euro,89.2,value in indian rupees per unit of foreign currency,
11-12-2024,US Dollar,84.84,value in indian rupees per unit of foreign currency,
11-12-2024,Pound Sterling,108.32,value in indian rupees per unit of foreign currency,
11-12-2024,Japanese Yen,55.91,value in indian rupees per unit of foreign currency,
11-12-2024,Euro,89.29,value in indian rupees per unit of foreign currency,
10-12-2024,US Dollar,84.85,value in indian rupees per unit of foreign currency,
10-12-2024,Pound Sterling,108.28,value in indian rupees per unit of foreign currency,
10-12-2024,Japanese Yen,56.14,value in indian rupees per unit of foreign currency,
10-12-2024,Euro,89.66,value in indian rupees per unit of foreign currency,
09-12-2024,US Dollar,84.73,value in indian rupees per unit of foreign currency,
09-12-2024,Pound Sterling,107.84,value in indian rupees per unit of foreign currency,
09-12-2024,Japanese Yen,56.44,value in indian rupees per unit of foreign currency,
09-12-2024,Euro,89.32,value in indian rupees per unit of foreign currency,
06-12-2024,US Dollar,84.66,value in indian rupees per unit of foreign currency,
06-12-2024,Pound Sterling,107.91,value in indian rupees per unit of foreign currency,
06-12-2024,Japanese Yen,56.5,value in indian rupees per unit of foreign currency,
06-12-2024,Euro,89.53,value in indian rupees per unit of foreign currency,
05-12-2024,US Dollar,84.73,value in indian rupees per unit of foreign currency,
05-12-2024,Pound Sterling,107.76,value in indian rupees per unit of foreign currency,
05-12-2024,Japanese Yen,56.58,value in indian rupees per unit of foreign currency,
05-12-2024,Euro,89.2,value in indian rupees per unit of foreign currency,
04-12-2024,US Dollar,84.69,value in indian rupees per unit of foreign currency,
04-12-2024,Pound Sterling,107.51,value in indian rupees per unit of foreign currency,
04-12-2024,Japanese Yen,56.47,value in indian rupees per unit of foreign currency,
04-12-2024,Euro,89.11,value in indian rupees per unit of foreign currency,
03-12-2024,US Dollar,84.74,value in indian rupees per unit of foreign currency,
03-12-2024,Pound Sterling,107.2,value in indian rupees per unit of foreign currency,
03-12-2024,Japanese Yen,56.47,value in indian rupees per unit of foreign currency,
03-12-2024,Euro,88.91,value in indian rupees per unit of foreign currency,
02-12-2024,US Dollar,84.68,value in indian rupees per unit of foreign currency,
02-12-2024,Pound Sterling,107.45,value in indian rupees per unit of foreign currency,
02-12-2024,Japanese Yen,56.24,value in indian rupees per unit of foreign currency,
02-12-2024,Euro,89.13,value in indian rupees per unit of foreign currency,
29-11-2024,US Dollar,84.5,value in indian rupees per unit of foreign currency,
29-11-2024,Pound Sterling,107.46,value in indian rupees per unit of foreign currency,
29-11-2024,Japanese Yen,56.31,value in indian rupees per unit of foreign currency,
29-11-2024,Euro,89.36,value in indian rupees per unit of foreign currency,
28-11-2024,US Dollar,84.49,value in indian rupees per unit of foreign currency,
28-11-2024,Pound Sterling,106.97,value in indian rupees per unit of foreign currency,
28-11-2024,Japanese Yen,55.74,value in indian rupees per unit of foreign currency,
28-11-2024,Euro,89.12,value in indian rupees per unit of foreign currency,
27-11-2024,US Dollar,84.47,value in indian rupees per unit of foreign currency,
27-11-2024,Pound Sterling,106.23,value in indian rupees per unit of foreign currency,
27-11-2024,Japanese Yen,55.49,value in indian rupees per unit of foreign currency,
27-11-2024,Euro,88.53,value in indian rupees per unit of foreign currency,
26-11-2024,US Dollar,84.28,value in indian rupees per unit of foreign currency,
26-11-2024,Pound Sterling,105.79,value in indian rupees per unit of foreign currency,
26-11-2024,Japanese Yen,54.79,value in indian rupees per unit of foreign currency,
26-11-2024,Euro,88.32,value in indian rupees per unit of foreign currency,
25-11-2024,US Dollar,84.28,value in indian rupees per unit of foreign currency,
25-11-2024,Pound Sterling,106.19,value in indian rupees per unit of foreign currency,
25-11-2024,Japanese Yen,54.61,value in indian rupees per unit of foreign currency,
25-11-2024,Euro,88.37,value in indian rupees per unit of foreign currency,
22-11-2024,US Dollar,84.5,value in indian rupees per unit of foreign currency,
22-11-2024,Pound Sterling,106.21,value in indian rupees per unit of foreign currency,
22-11-2024,Japanese Yen,54.57,value in indian rupees per unit of foreign currency,
22-11-2024,Euro,88.45,value in indian rupees per unit of foreign currency,
21-11-2024,US Dollar,84.46,value in indian rupees per unit of foreign currency,
21-11-2024,Pound Sterling,106.84,value in indian rupees per unit of foreign currency,
21-11-2024,Japanese Yen,54.55,value in indian rupees per unit of foreign currency,
21-11-2024,Euro,89.08,value in indian rupees per unit of foreign currency,
19-11-2024,US Dollar,84.4,value in indian rupees per unit of foreign currency,
19-11-2024,Pound Sterling,107.0,value in indian rupees per unit of foreign currency,
19-11-2024,Japanese Yen,54.64,value in indian rupees per unit of foreign currency,
19-11-2024,Euro,89.42,value in indian rupees per unit of foreign currency,
18-11-2024,US Dollar,84.39,value in indian rupees per unit of foreign currency,
18-11-2024,Pound Sterling,106.62,value in indian rupees per unit of foreign currency,
18-11-2024,Japanese Yen,54.65,value in indian rupees per unit of foreign currency,
18-11-2024,Euro,88.97,value in indian rupees per unit of foreign currency,
14-11-2024,US Dollar,84.4,value in indian rupees per unit of foreign currency,
14-11-2024,Pound Sterling,107.13,value in indian rupees per unit of foreign currency,
14-11-2024,Japanese Yen,54.15,value in indian rupees per unit of foreign currency,
14-11-2024,Euro,89.06,value in indian rupees per unit of foreign currency,
13-11-2024,US Dollar,84.41,value in indian rupees per unit of foreign currency,
13-11-2024,Pound Sterling,107.53,value in indian rupees per unit of foreign currency,
13-11-2024,Japanese Yen,54.44,value in indian rupees per unit of foreign currency,
13-11-2024,Euro,89.57,value in indian rupees per unit of foreign currency,
12-11-2024,US Dollar,84.4,value in indian rupees per unit of foreign currency,
12-11-2024,Pound Sterling,108.26,value in indian rupees per unit of foreign currency,
12-11-2024,Japanese Yen,54.91,value in indian rupees per unit of foreign currency,
12-11-2024,Euro,89.77,value in indian rupees per unit of foreign currency,
11-11-2024,US Dollar,84.38,value in indian rupees per unit of foreign currency,
11-11-2024,Pound Sterling,108.98,value in indian rupees per unit of foreign currency,
11-11-2024,Japanese Yen,54.98,value in indian rupees per unit of foreign currency,
11-11-2024,Euro,90.43,value in indian rupees per unit of foreign currency,
08-11-2024,US Dollar,84.38,value in indian rupees per unit of foreign currency,
08-11-2024,Pound Sterling,109.4,value in indian rupees per unit of foreign currency,
08-11-2024,Japanese Yen,55.19,value in indian rupees per unit of foreign currency,
08-11-2024,Euro,90.92,value in indian rupees per unit of foreign currency,
07-11-2024,US Dollar,84.36,value in indian rupees per unit of foreign currency,
07-11-2024,Pound Sterling,109.09,value in indian rupees per unit of foreign currency,
07-11-2024,Japanese Yen,54.76,value in indian rupees per unit of foreign currency,
07-11-2024,Euro,90.66,value in indian rupees per unit of foreign currency,
06-11-2024,US Dollar,84.24,value in indian rupees per unit of foreign currency,
06-11-2024,Pound Sterling,108.28,value in indian rupees per unit of foreign currency,
06-11-2024,Japanese Yen,54.61,value in indian rupees per unit of foreign currency,
06-11-2024,Euro,90.25,value in indian rupees per unit of foreign currency,
05-11-2024,US Dollar,84.12,value in indian rupees per unit of foreign currency,
05-11-2024,Pound Sterling,109.03,value in indian rupees per unit of foreign currency,
05-11-2024,Japanese Yen,55.22,value in indian rupees per unit of foreign currency,
05-11-2024,Euro,91.51,value in indian rupees per unit of foreign currency,
04-11-2024,US Dollar,84.11,value in indian rupees per unit of foreign currency,
